SE,casos_est,casos,p_rt1,p_inc100k,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax
202444,552.0,552,0.3900726,76.093956,16.2744428571429,19.8037857142857,24.2675,61.7246,80.4353285714286,93.7130428571429
202443,627.0,627,0.99939364,86.43281,18.3594142857143,21.6788714285714,25.9306857142857,65.9193285714286,82.2587428571429,93.8832714285714
202442,583.0,583,0.99362904,80.36735,16.9014142857143,20.9770428571429,26.1889571428571,53.9854,77.0033142857143,93.3335285714286
202441,493.0,493,0.34280154,67.960724,16.6916428571429,21.1921714285714,27.8493571428571,47.1656285714286,75.0353428571429,93.2043285714286
202440,470.0,470,0.2066623,64.79014,16.5119571428571,21.5249285714286,28.0664,42.1985714285714,68.4066142857143,87.1072571428572
202439,559.0,559,0.99570686,77.058914,17.1991714285714,23.1511571428571,29.7637285714286,36.8078142857143,64.5478857142857,87.3802857142857
202438,467.0,467,0.81695235,64.37659,15.5314,19.9154857142857,25.3144857142857,53.1182285714286,75.8933142857143,92.0379142857143
202437,508.0,508,0.9986356,70.028496,15.4436428571429,23.4888857142857,31.6241,22.1333571428571,47.6120714285714,69.3602
202436,442.0,442,0.7671035,60.930305,14.9169142857143,21.2249857142857,29.0178428571429,35.3506428571429,64.5760857142857,83.8063
202435,364.0,364,0.022842523,50.1779,10.0485,15.4357571428571,21.8958142857143,47.7048285714286,73.9204714285714,93.3281285714286
202434,471.0,471,0.90261436,64.92799,12.8193142857143,20.5434285714286,28.9119142857143,29.1404714285714,57.1896571428571,79.6458285714286
202433,399.0,399,0.008016915,55.002693,8.02335714285714,14.939,22.8560714285714,38.5682714285714,68.4834285714286,90.6753
202432,407.0,407,7.63833e-05,56.105507,13.1030714285714,18.7648428571429,24.8939428571429,42.5116428571429,65.7584857142857,84.8176142857143
202431,487.0,487,9.525e-06,67.13361,12.2459428571429,17.747,24.0353142857143,43.6585714285714,70.5348571428571,88.4996714285714
202430,507.0,507,0.0,69.89064,9.9304,16.6647714285714,23.9750142857143,35.8331142857143,66.8832285714286,89.9041714285714
202429,539.0,539,0.0,74.30189,12.7093,16.9011857142857,22.1094714285714,51.3730428571429,78.4593857142857,95.9150142857143
202428,830.0,830,0.0,114.41663,14.1284571428571,17.5690714285714,22.2410142857143,61.0154714285714,82.4444714285714,95.1144857142857
202427,1057.0,1057,0.0,145.7089,11.9090285714286,16.3416285714286,21.7315,54.3130428571429,76.5546428571429,91.7920428571429
202426,1681.0,1681,0.0,231.72815,13.5734714285714,18.8582142857143,25.4048142857143,42.9887571428571,69.6242714285714,88.1027142857143
202425,2007.0,2007,0.0,276.6677,10.1702428571429,17.1015571428571,24.7854571428571,35.5171,65.4063142857143,87.6573285714286
202424,2842.0,2842,0.0,391.7736,11.5797571428571,17.8601714285714,25.2262142857143,41.1144571428571,69.0982714285714,87.6531571428571
202423,3611.0,3611,0.0,497.78128,12.4277428571429,17.1080428571429,22.558,53.5828857142857,76.0447714285714,92.2403428571429
202422,4107.0,4107,0.0,566.1556,12.1496285714286,15.4253571428571,19.6198428571429,61.3367571428571,82.3513285714286,94.8927285714286
202421,6538.0,6538,0.0,901.2722,16.1837714285714,20.2085,25.3614571428571,51.0711714285714,75.7938,90.9650714285714
202420,8014.0,8014,0.0,1104.7408,15.7724428571429,20.6771571428571,26.4369571428571,46.6477857142857,70.4177,88.5568857142857
202419,8706.0,8706,0.0,1200.134,15.8918714285714,21.8626428571429,28.4317428571429,38.4025571428571,66.9709142857143,88.0817285714286
202418,9014.0,9014,0.0,1242.5922,16.4452285714286,22.6765428571429,28.9888857142857,41.6179428571429,68.0167,89.2225
202417,10101.0,10101,0.0,1392.4366,15.8882714285714,21.1432857142857,26.8133857142857,48.2613285714286,73.4927428571429,92.6561142857143
202416,10938.0,10938,0.0016053119,1507.8182,17.5259714285714,20.9641714285714,25.1548571428571,59.3892142857143,78.7881142857143,92.8521142857143
202415,11875.0,11875,1.0,1636.985,17.7804285714286,21.4296,25.7979714285714,60.3334285714286,81.2877,96.0891142857143
202414,12123.0,12123,1.0,1671.1721,17.3100857142857,22.0666428571429,27.0761571428571,52.3929285714286,77.0615428571429,94.9448857142857
202413,10103.0,10103,1.0,1392.7124,17.7811714285714,20.1668857142857,23.2841571428571,73.2304,88.0813571428571,97.4579857142857
202412,11048.0,11048,1.0,1522.9819,19.9549285714286,23.3193142857143,27.1376714285714,69.3408714285714,84.4991571428571,95.6049857142857
202411,8086.0,8086,1.0,1114.6661,19.6661714285714,23.8144285714286,28.3754285714286,58.1086714285714,79.4509714285714,95.0679285714286
202410,6661.0,6661,1.0,918.22797,19.5534142857143,22.9664857142857,26.9170714285714,65.7791714285714,83.1539857142857,95.1879
202409,5598.0,5598,1.0,771.69196,20.0480142857143,23.4231142857143,27.8341,65.3324428571429,83.7998142857143,96.7044142857143
202408,4564.0,4564,1.0,629.1536,19.0256285714286,22.2756142857143,26.5050857142857,69.4119285714286,85.1726714285714,96.1146428571429
202407,3529.0,3529,1.0,486.47748,19.2610714285714,22.6176714285714,26.3869571428571,65.5762571428571,81.7569285714286,94.8501285714286
202406,2748.0,2748,1.0,378.81555,18.6284285714286,23.0816285714286,28.0056285714286,55.0896142857143,77.5222428571429,94.2258428571429
202405,1896.0,1896,1.0,261.36618,17.8181428571429,21.9476142857143,26.5030857142857,60.9044142857143,80.5381571428571,94.8653714285714
202404,1391.0,1391,1.0,191.75125,17.2218428571429,19.7324571428571,22.9693142857143,73.2777285714286,86.4767428571429,95.8096571428571
202403,1060.0,1060,1.0,146.12245,20.5101714285714,24.3462,28.5113857142857,62.0503428571429,79.5013428571429,93.7015428571429
202402,645.0,645,1.0,88.91413,20.1629857142857,24.0261428571429,28.0278285714286,60.4774428571429,77.8751428571429,92.2183428571429
