SE,casos_est,casos,p_rt1,p_inc100k,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,tempmed_lag2,tempmed_lag4,umidmed_lag2,umidmed_lag4,casos_lag1,casos_lag2
202116,220.0,220,0.13137905,30.147848,15.1428571428571,18.0499821428571,21.8571428571429,61.3878801428571,81.2184942857143,94.7797157142857,21.1082262857143,25.5978041428571,70.2885894285714,66.7215834285714,257.0,264.0
202117,207.0,207,0.041997354,28.366385,15.2857142857143,19.6219892857143,24.4285714285714,47.4018981428571,69.9743594285714,89.6169457142857,21.0907267142857,22.7591078571429,66.9014524285714,71.0446722857143,220.0,257.0
202118,191.0,191,0.044709094,26.173813,14.4285714285714,19.5413531428571,25.0,37.4515435714286,68.7049631428571,91.2832657142857,18.0499821428571,21.1082262857143,81.2184942857143,70.2885894285714,207.0,220.0
202119,208.0,208,0.4934108,28.50342,14.2857142857143,17.9765588571429,22.2857142857143,53.7338761428571,73.7234281428571,90.5095528571429,19.6219892857143,21.0907267142857,69.9743594285714,66.9014524285714,191.0,207.0
202120,156.0,156,0.012476596,21.377565,13.5714285714286,18.102637,23.5714285714286,46.7902188571429,74.6763885714286,94.62569,19.5413531428571,18.0499821428571,68.7049631428571,81.2184942857143,208.0,191.0
202121,163.0,163,0.091272734,22.336815,12.2857142857143,19.0687011428571,25.0,37.8819882857143,64.0389458571429,92.2024408571429,17.9765588571429,19.6219892857143,73.7234281428571,69.9743594285714,156.0,208.0
202122,153.0,153,0.151504,20.966457,14.4285714285714,19.5423187142857,25.0,47.9454515714286,73.3242922857143,94.7077914285714,18.102637,19.5413531428571,74.6763885714286,68.7049631428571,163.0,156.0
202123,123.0,123,0.016826266,16.855387,14.8571428571429,18.2974177142857,21.8571428571429,60.0338638571429,79.0822851428571,95.572582,19.0687011428571,17.9765588571429,64.0389458571429,73.7234281428571,153.0,163.0
202124,106.0,106,0.006379437,14.525782,12.5714285714286,15.1880895714286,18.4285714285714,60.0299825714286,78.0333327142857,91.1624077142857,19.5423187142857,18.102637,73.3242922857143,74.6763885714286,123.0,153.0
202125,99.0,99,0.032619294,13.566531,12.5714285714286,17.7173324285714,22.5714285714286,50.8728414285714,72.1248527142857,94.5643657142857,18.2974177142857,19.0687011428571,79.0822851428571,64.0389458571429,106.0,123.0
202126,74.0,74,0.0046395017,10.140639,9.28571428571429,15.6537447142857,21.2857142857143,39.4455025714286,65.6106262857143,91.1193112857143,15.1880895714286,19.5423187142857,78.0333327142857,73.3242922857143,99.0,106.0
